date_time,uvIndex,sunrise,sunset,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,city
2012-07-01 00:00:00,3,07:18 AM,05:19 PM,47,88,0.0,1017,5,10,282,11,Kingsway+West+New+South+Wales+Australia
2012-07-01 01:00:00,3,07:18 AM,05:19 PM,40,90,0.0,1017,5,10,280,11,Kingsway+West+New+South+Wales+Australia
2012-07-01 02:00:00,3,07:18 AM,05:19 PM,34,92,0.0,1017,4,10,279,11,Kingsway+West+New+South+Wales+Australia
2012-07-01 03:00:00,3,07:18 AM,05:19 PM,28,94,0.0,1017,4,10,277,11,Kingsway+West+New+South+Wales+Australia
2012-07-01 04:00:00,3,07:18 AM,05:19 PM,24,94,0.0,1017,4,7,276,11,Kingsway+West+New+South+Wales+Australia
2012-07-01 05:00:00,3,07:18 AM,05:19 PM,21,95,0.0,1017,4,5,275,11,Kingsway+West+New+South+Wales+Australia
2012-07-01 06:00:00,3,07:18 AM,05:19 PM,18,96,0.0,1018,4,2,275,12,Kingsway+West+New+South+Wales+Australia
2012-07-01 07:00:00,3,07:18 AM,05:19 PM,19,88,0.0,1018,5,5,275,13,Kingsway+West+New+South+Wales+Australia
2012-07-01 08:00:00,3,07:18 AM,05:19 PM,20,81,0.0,1018,7,7,274,15,Kingsway+West+New+South+Wales+Australia
2012-07-01 09:00:00,3,07:18 AM,05:19 PM,22,74,0.0,1018,9,10,274,16,Kingsway+West+New+South+Wales+Australia
2012-07-01 10:00:00,3,07:18 AM,05:19 PM,44,73,0.0,1018,9,10,273,18,Kingsway+West+New+South+Wales+Australia
2012-07-01 11:00:00,3,07:18 AM,05:19 PM,66,72,0.2,1017,10,10,272,20,Kingsway+West+New+South+Wales+Australia
2012-07-01 12:00:00,3,07:18 AM,05:19 PM,89,71,0.2,1017,10,10,270,22,Kingsway+West+New+South+Wales+Australia
2012-07-01 13:00:00,3,07:18 AM,05:19 PM,69,70,0.1,1017,10,10,269,21,Kingsway+West+New+South+Wales+Australia
2012-07-01 14:00:00,3,07:18 AM,05:19 PM,49,69,0.2,1017,10,9,268,20,Kingsway+West+New+South+Wales+Australia
2012-07-01 15:00:00,3,07:18 AM,05:19 PM,29,69,0.3,1017,10,9,267,19,Kingsway+West+New+South+Wales+Australia
2012-07-01 16:00:00,3,07:18 AM,05:19 PM,39,73,0.1,1018,9,9,272,18,Kingsway+West+New+South+Wales+Australia
2012-07-01 17:00:00,3,07:18 AM,05:19 PM,49,77,0.0,1019,8,10,277,18,Kingsway+West+New+South+Wales+Australia
2012-07-01 18:00:00,3,07:18 AM,05:19 PM,59,81,0.0,1019,7,10,282,18,Kingsway+West+New+South+Wales+Australia
2012-07-01 19:00:00,3,07:18 AM,05:19 PM,50,83,0.0,1019,6,10,276,19,Kingsway+West+New+South+Wales+Australia
2012-07-01 20:00:00,3,07:18 AM,05:19 PM,40,85,0.0,1019,6,10,270,20,Kingsway+West+New+South+Wales+Australia
2012-07-01 21:00:00,3,07:18 AM,05:19 PM,31,87,0.0,1019,6,10,265,21,Kingsway+West+New+South+Wales+Australia
2012-07-01 22:00:00,3,07:18 AM,05:19 PM,25,89,0.0,1020,5,10,261,20,Kingsway+West+New+South+Wales+Australia
2012-07-01 23:00:00,3,07:18 AM,05:19 PM,20,90,0.0,1020,5,10,258,20,Kingsway+West+New+South+Wales+Australia
2012-07-02 00:00:00,3,07:18 AM,05:19 PM,15,92,0.0,1020,4,10,255,19,Kingsway+West+New+South+Wales+Australia
2012-07-02 01:00:00,3,07:18 AM,05:19 PM,22,93,0.0,1020,4,10,257,19,Kingsway+West+New+South+Wales+Australia
2012-07-02 02:00:00,3,07:18 AM,05:19 PM,29,95,0.0,1021,4,10,259,18,Kingsway+West+New+South+Wales+Australia
2012-07-02 03:00:00,3,07:18 AM,05:19 PM,36,96,0.0,1021,4,10,260,18,Kingsway+West+New+South+Wales+Australia
2012-07-02 04:00:00,3,07:18 AM,05:19 PM,49,97,0.0,1021,3,10,259,17,Kingsway+West+New+South+Wales+Australia
2012-07-02 05:00:00,3,07:18 AM,05:19 PM,63,97,0.0,1022,3,10,258,17,Kingsway+West+New+South+Wales+Australia
2012-07-02 06:00:00,3,07:18 AM,05:19 PM,76,98,0.0,1023,3,10,256,17,Kingsway+West+New+South+Wales+Australia
2012-07-02 07:00:00,3,07:18 AM,05:19 PM,76,95,0.0,1023,4,10,251,18,Kingsway+West+New+South+Wales+Australia
2012-07-02 08:00:00,3,07:18 AM,05:19 PM,77,92,0.0,1023,5,10,246,20,Kingsway+West+New+South+Wales+Australia
2012-07-02 09:00:00,3,07:18 AM,05:19 PM,78,89,0.0,1023,6,10,241,22,Kingsway+West+New+South+Wales+Australia
2012-07-02 10:00:00,3,07:18 AM,05:19 PM,77,85,0.0,1022,7,10,240,21,Kingsway+West+New+South+Wales+Australia
2012-07-02 11:00:00,3,07:18 AM,05:19 PM,76,82,0.0,1022,8,10,239,20,Kingsway+West+New+South+Wales+Australia
2012-07-02 12:00:00,3,07:18 AM,05:19 PM,76,78,0.0,1021,9,10,238,19,Kingsway+West+New+South+Wales+Australia
2012-07-02 13:00:00,3,07:18 AM,05:19 PM,69,78,0.0,1022,9,10,234,18,Kingsway+West+New+South+Wales+Australia
2012-07-02 14:00:00,3,07:18 AM,05:19 PM,63,77,0.0,1022,9,10,230,17,Kingsway+West+New+South+Wales+Australia
2012-07-02 15:00:00,3,07:18 AM,05:19 PM,57,76,0.0,1022,10,10,225,15,Kingsway+West+New+South+Wales+Australia
2012-07-02 16:00:00,3,07:18 AM,05:19 PM,61,80,0.0,1022,9,10,225,15,Kingsway+West+New+South+Wales+Australia
2012-07-02 17:00:00,3,07:18 AM,05:19 PM,64,83,0.0,1022,9,10,226,14,Kingsway+West+New+South+Wales+Australia
2012-07-02 18:00:00,3,07:18 AM,05:19 PM,68,86,0.0,1023,8,10,226,14,Kingsway+West+New+South+Wales+Australia
2012-07-02 19:00:00,3,07:18 AM,05:19 PM,55,88,0.0,1023,8,10,224,14,Kingsway+West+New+South+Wales+Australia
2012-07-02 20:00:00,3,07:18 AM,05:19 PM,43,89,0.0,1023,7,10,223,13,Kingsway+West+New+South+Wales+Australia
2012-07-02 21:00:00,3,07:18 AM,05:19 PM,31,90,0.0,1023,7,10,222,13,Kingsway+West+New+South+Wales+Australia
2012-07-02 22:00:00,3,07:18 AM,05:19 PM,35,89,0.0,1023,7,10,221,13,Kingsway+West+New+South+Wales+Australia
2012-07-02 23:00:00,3,07:18 AM,05:19 PM,40,88,0.0,1023,7,10,220,13,Kingsway+West+New+South+Wales+Australia
2012-07-03 00:00:00,3,07:18 AM,05:19 PM,45,87,0.0,1024,7,10,219,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 01:00:00,3,07:18 AM,05:19 PM,32,89,0.0,1023,6,10,224,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 02:00:00,3,07:18 AM,05:19 PM,19,91,0.0,1023,5,10,230,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 03:00:00,3,07:18 AM,05:19 PM,6,93,0.0,1023,5,10,236,11,Kingsway+West+New+South+Wales+Australia
2012-07-03 04:00:00,3,07:18 AM,05:19 PM,14,94,0.0,1024,4,10,234,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 05:00:00,3,07:18 AM,05:19 PM,21,95,0.0,1024,3,10,231,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 06:00:00,3,07:18 AM,05:19 PM,29,97,0.0,1024,3,10,229,13,Kingsway+West+New+South+Wales+Australia
2012-07-03 07:00:00,3,07:18 AM,05:19 PM,23,91,0.0,1025,4,10,222,13,Kingsway+West+New+South+Wales+Australia
2012-07-03 08:00:00,3,07:18 AM,05:19 PM,18,85,0.0,1025,6,10,215,14,Kingsway+West+New+South+Wales+Australia
2012-07-03 09:00:00,3,07:18 AM,05:19 PM,13,79,0.0,1025,8,10,209,14,Kingsway+West+New+South+Wales+Australia
2012-07-03 10:00:00,3,07:18 AM,05:19 PM,13,76,0.0,1025,9,10,209,15,Kingsway+West+New+South+Wales+Australia
2012-07-03 11:00:00,3,07:18 AM,05:19 PM,13,72,0.0,1024,10,10,210,15,Kingsway+West+New+South+Wales+Australia
2012-07-03 12:00:00,3,07:18 AM,05:19 PM,13,69,0.0,1023,11,10,210,15,Kingsway+West+New+South+Wales+Australia
2012-07-03 13:00:00,3,07:18 AM,05:19 PM,23,70,0.0,1023,11,10,213,15,Kingsway+West+New+South+Wales+Australia
2012-07-03 14:00:00,3,07:18 AM,05:19 PM,33,71,0.0,1023,11,10,216,15,Kingsway+West+New+South+Wales+Australia
2012-07-03 15:00:00,3,07:18 AM,05:19 PM,43,72,0.0,1023,11,10,219,16,Kingsway+West+New+South+Wales+Australia
2012-07-03 16:00:00,3,07:18 AM,05:19 PM,55,76,0.0,1023,10,10,221,15,Kingsway+West+New+South+Wales+Australia
2012-07-03 17:00:00,3,07:18 AM,05:19 PM,66,81,0.0,1023,9,10,224,13,Kingsway+West+New+South+Wales+Australia
2012-07-03 18:00:00,3,07:18 AM,05:19 PM,78,86,0.0,1023,9,10,227,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 19:00:00,3,07:18 AM,05:19 PM,75,89,0.0,1024,8,10,224,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 20:00:00,3,07:18 AM,05:19 PM,73,92,0.0,1024,8,10,221,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 21:00:00,3,07:18 AM,05:19 PM,71,95,0.0,1025,8,10,219,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 22:00:00,3,07:18 AM,05:19 PM,70,95,0.0,1025,8,7,214,12,Kingsway+West+New+South+Wales+Australia
2012-07-03 23:00:00,3,07:18 AM,05:19 PM,69,96,0.0,1025,8,5,209,12,Kingsway+West+New+South+Wales+Australia
2012-07-04 00:00:00,2,07:18 AM,05:20 PM,68,97,0.0,1025,7,2,205,12,Kingsway+West+New+South+Wales+Australia
2012-07-04 01:00:00,2,07:18 AM,05:20 PM,78,97,0.0,1025,7,1,205,12,Kingsway+West+New+South+Wales+Australia
2012-07-04 02:00:00,2,07:18 AM,05:20 PM,89,97,0.0,1025,7,1,206,12,Kingsway+West+New+South+Wales+Australia
2012-07-04 03:00:00,2,07:18 AM,05:20 PM,100,98,0.0,1025,6,0,206,12,Kingsway+West+New+South+Wales+Australia
2012-07-04 04:00:00,2,07:18 AM,05:20 PM,93,96,0.0,1026,6,3,203,12,Kingsway+West+New+South+Wales+Australia
2012-07-04 05:00:00,2,07:18 AM,05:20 PM,87,94,0.0,1026,6,7,201,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 06:00:00,2,07:18 AM,05:20 PM,80,92,0.0,1027,6,10,198,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 07:00:00,2,07:18 AM,05:20 PM,79,90,0.0,1027,6,10,192,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 08:00:00,2,07:18 AM,05:20 PM,78,87,0.0,1028,7,10,187,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 09:00:00,2,07:18 AM,05:20 PM,77,85,0.0,1028,7,10,182,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 10:00:00,2,07:18 AM,05:20 PM,54,78,0.0,1028,8,10,183,14,Kingsway+West+New+South+Wales+Australia
2012-07-04 11:00:00,2,07:18 AM,05:20 PM,32,71,0.0,1027,10,10,184,14,Kingsway+West+New+South+Wales+Australia
2012-07-04 12:00:00,2,07:18 AM,05:20 PM,9,65,0.0,1027,11,10,185,14,Kingsway+West+New+South+Wales+Australia
2012-07-04 13:00:00,2,07:18 AM,05:20 PM,10,65,0.0,1027,11,10,185,14,Kingsway+West+New+South+Wales+Australia
2012-07-04 14:00:00,2,07:18 AM,05:20 PM,11,66,0.0,1027,11,10,185,14,Kingsway+West+New+South+Wales+Australia
2012-07-04 15:00:00,2,07:18 AM,05:20 PM,12,67,0.0,1027,11,10,185,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 16:00:00,2,07:18 AM,05:20 PM,8,73,0.0,1028,9,10,184,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 17:00:00,2,07:18 AM,05:20 PM,4,79,0.0,1029,7,10,183,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 18:00:00,2,07:18 AM,05:20 PM,0,86,0.0,1029,6,10,182,13,Kingsway+West+New+South+Wales+Australia
2012-07-04 19:00:00,2,07:18 AM,05:20 PM,0,87,0.0,1030,5,10,179,12,Kingsway+West+New+South+Wales+Australia
2012-07-04 20:00:00,2,07:18 AM,05:20 PM,0,89,0.0,1030,5,10,176,12,Kingsway+West+New+South+Wales+Australia
2012-07-04 21:00:00,2,07:18 AM,05:20 PM,0,91,0.0,1031,4,10,173,11,Kingsway+West+New+South+Wales+Australia
2012-07-04 22:00:00,2,07:18 AM,05:20 PM,0,91,0.0,1031,4,10,169,11,Kingsway+West+New+South+Wales+Australia
2012-07-04 23:00:00,2,07:18 AM,05:20 PM,0,92,0.0,1031,3,10,166,11,Kingsway+West+New+South+Wales+Australia
2012-07-05 00:00:00,3,07:18 AM,05:20 PM,0,92,0.0,1031,2,10,163,11,Kingsway+West+New+South+Wales+Australia
2012-07-05 01:00:00,3,07:18 AM,05:20 PM,0,93,0.0,1031,2,10,158,12,Kingsway+West+New+South+Wales+Australia
2012-07-05 02:00:00,3,07:18 AM,05:20 PM,0,93,0.0,1031,2,10,153,12,Kingsway+West+New+South+Wales+Australia
2012-07-05 03:00:00,3,07:18 AM,05:20 PM,0,94,0.0,1031,2,10,147,12,Kingsway+West+New+South+Wales+Australia
2012-07-05 04:00:00,3,07:18 AM,05:20 PM,0,94,0.0,1031,2,10,146,12,Kingsway+West+New+South+Wales+Australia
2012-07-05 05:00:00,3,07:18 AM,05:20 PM,0,94,0.0,1032,2,10,144,12,Kingsway+West+New+South+Wales+Australia
2012-07-05 06:00:00,3,07:18 AM,05:20 PM,0,94,0.0,1032,1,10,142,12,Kingsway+West+New+South+Wales+Australia
2012-07-05 07:00:00,3,07:18 AM,05:20 PM,0,85,0.0,1032,3,10,137,13,Kingsway+West+New+South+Wales+Australia
